단어	품사	뜻	발음기호	예문1	예문1 해석	예문2	예문2 해석	메모
performance	noun	공연, 연기	/pərˈfɔːrməns/	The performance started at 7 p.m.	공연은 오후 7시에 시작했다.	His performance in the movie was impressive.	그의 영화 연기는 인상적이었다.	공연/연기 의미도 자주 사용
dismiss	verb	해고하다	/dɪsˈmɪs/	The company dismissed several employees.	그 회사는 직원 몇 명을 해고했다.	He was dismissed for poor performance.	그는 낮은 성과 때문에 해고되었다.	회사에서 해고 의미
dismiss	verb	무시하다, 묵살하다	/dɪsˈmɪs/	She dismissed his idea without discussion.	그녀는 논의 없이 그의 생각을 묵살했다.	Do not dismiss the warning signs.	경고 신호를 무시하지 마라.	의견/경고를 무시할 때
financial	adjective	재정의, 금융의	/faɪˈnænʃl/	The company has financial problems.	그 회사는 재정 문제가 있다.	He needs financial support.	그는 재정적 지원이 필요하다.	money 관련 형용사
poor	adjective	가난한, 부족한	/pʊr/	They helped poor families.	그들은 가난한 가족들을 도왔다.	Poor planning caused the problem.	부족한 계획이 그 문제를 일으켰다.	가난한/질이 낮은 둘 다
director	noun	임원, 이사, 감독	/dəˈrektər/	The director approved the plan.	그 이사는 그 계획을 승인했다.	The movie director won an award.	그 영화감독은 상을 받았다.	회사 이사/영화감독 모두 가능
commute	verb	통근하다	/kəˈmjuːt/	I commute to work by subway.	나는 지하철로 출근한다.	She commutes from Incheon to Seoul.	그녀는 인천에서 서울로 통근한다.	출퇴근하다
commute	noun	통근, 출퇴근길	/kəˈmjuːt/	My commute takes one hour.	내 출근길은 한 시간 걸린다.	The morning commute was terrible today.	오늘 아침 출근길은 끔찍했다.	명사로도 자주 씀
course	noun	과정, 강좌	/kɔːrs/	I signed up for an English course.	나는 영어 강좌에 등록했다.	This course is for beginners.	이 과정은 초보자를 위한 것이다.	수업/강좌
course	noun	진로, 방향, 흐름	/kɔːrs/	The ship changed its course.	그 배는 항로를 바꿨다.	We need to decide the course of action.	우리는 행동 방침을 결정해야 한다.	방향/진행 의미
term	noun	용어, 말	/tɜːrm/	I do not understand this technical term.	나는 이 전문 용어를 이해하지 못한다.	The term is often used in business.	그 용어는 비즈니스에서 자주 사용된다.	단어/용어
term	noun	학기, 기간	/tɜːrm/	The spring term begins in March.	봄 학기는 3월에 시작한다.	The contract term is two years.	계약 기간은 2년이다.	기간 의미도 중요
extensive	adjective	광범위한, 대규모의	/ɪkˈstensɪv/	The report includes extensive research.	그 보고서는 광범위한 조사를 포함한다.	The building suffered extensive damage.	그 건물은 큰 피해를 입었다.	범위가 넓을 때
board	noun	이사회, 위원회	/bɔːrd/	The board made the final decision.	이사회가 최종 결정을 내렸다.	She is a member of the school board.	그녀는 학교 위원회의 구성원이다.	회사/기관 위원회
board	noun	판자, 게시판	/bɔːrd/	He wrote the answer on the board.	그는 칠판에 답을 썼다.	The notice was posted on the board.	그 공지는 게시판에 붙었다.	물리적인 판/게시판
board meeting	noun phrase	이사회 회의	/bɔːrd ˈmiːtɪŋ/	The board meeting starts at 10 a.m.	이사회 회의는 오전 10시에 시작한다.	We discussed the budget at the board meeting.	우리는 이사회 회의에서 예산을 논의했다.	회사 표현
review	noun	검토, 평가, 리뷰	/rɪˈvjuː/	The report is under review.	그 보고서는 검토 중이다.	I read a review of the restaurant.	나는 그 식당의 리뷰를 읽었다.	검토/리뷰 둘 다
review	verb	검토하다, 복습하다	/rɪˈvjuː/	Please review this document.	이 문서를 검토해 주세요.	I reviewed the lesson before the test.	나는 시험 전에 그 수업을 복습했다.	문서 검토/공부 복습
reviewer	noun	검토자, 평가자, 리뷰어	/rɪˈvjuːər/	The reviewer checked the report carefully.	검토자는 그 보고서를 꼼꼼히 확인했다.	The reviewer gave the book a high rating.	그 리뷰어는 그 책에 높은 평점을 주었다.	논문/문서/리뷰 작성자
exchange	noun	교환	/ɪksˈtʃeɪndʒ/	The exchange of ideas was useful.	아이디어 교환은 유익했다.	We had a short exchange after the meeting.	우리는 회의 후 짧은 대화를 나눴다.	교환/대화
exchange	verb	교환하다	/ɪksˈtʃeɪndʒ/	They exchanged business cards.	그들은 명함을 교환했다.	Can I exchange this shirt?	이 셔츠를 교환할 수 있나요?	물건 교환
exposition	noun	박람회, 전시회	/ˌekspəˈzɪʃn/	The exposition attracted many visitors.	그 박람회는 많은 방문객을 끌어들였다.	Several companies joined the technology exposition.	여러 회사가 기술 박람회에 참가했다.	expo와 비슷
convention	noun	대회, 총회, 컨벤션	/kənˈvenʃn/	The annual convention will be held in Seoul.	연례 대회는 서울에서 열릴 것이다.	Many experts attended the convention.	많은 전문가들이 그 컨벤션에 참석했다.	큰 회의/행사
booth	noun	부스, 임시 진열장	/buːθ/	We visited the company’s booth.	우리는 그 회사의 부스를 방문했다.	The booth displayed new products.	그 부스는 신제품들을 전시했다.	박람회 부스
ingenuity	noun	창의력, 발명의 재간	/ˌɪndʒəˈnuːəti/	His ingenuity helped solve the problem.	그의 창의력이 그 문제를 해결하는 데 도움이 되었다.	The project required both patience and ingenuity.	그 프로젝트에는 인내심과 창의력이 모두 필요했다.	어려운 문제를 해결하는 재치/창의력
trajectory	noun	궤도, 탄도, 진행 방향	/trəˈdʒektəri/	The rocket followed a high trajectory.	그 로켓은 높은 궤도를 따라갔다.	Her career trajectory changed after college.	그녀의 경력 방향은 대학 이후 바뀌었다.	물체의 경로뿐 아니라 인생/경력 흐름에도 사용
analogy	noun	비유, 유사점	/əˈnælədʒi/	He explained the idea with a simple analogy.	그는 간단한 비유로 그 생각을 설명했다.	There is an analogy between the brain and a computer.	뇌와 컴퓨터 사이에는 유사점이 있다.	설명할 때 쓰는 비교
virtually	adverb	사실상, 거의	/ˈvɜːrtʃuəli/	The work is virtually complete.	그 일은 사실상 완료되었다.	Virtually everyone agreed with the plan.	거의 모든 사람이 그 계획에 동의했다.	컴퓨터의 가상 의미보다 “사실상”이 매우 중요
virtually	adverb	가상으로, 온라인으로	/ˈvɜːrtʃuəli/	The meeting was held virtually.	그 회의는 온라인으로 열렸다.	Students can visit the museum virtually.	학생들은 그 박물관을 가상으로 방문할 수 있다.	온라인/가상 환경 의미
retrace	verb	되짚어 가다, 발자취를 따라가다	/riːˈtreɪs/	We retraced our steps to find the lost key.	우리는 잃어버린 열쇠를 찾기 위해 왔던 길을 되짚어 갔다.	The detective retraced the victim’s movements.	형사는 피해자의 이동 경로를 되짚어 보았다.	trace에 re가 붙은 느낌
confront	verb	맞서다, 직면하다	/kənˈfrʌnt/	We must confront the problem directly.	우리는 그 문제에 직접 맞서야 한다.	She confronted him about his mistake.	그녀는 그의 실수에 대해 그와 맞섰다.	문제/사람에 정면으로 맞서는 느낌
digit	noun	숫자, 손가락/발가락	/ˈdɪdʒɪt/	Enter a four-digit password.	네 자리 비밀번호를 입력하세요.	A human hand has five digits.	사람의 손에는 다섯 개의 손가락이 있다.	숫자 의미가 더 자주 나옴
round off	phrasal verb	반올림하다, 끝맺다	/raʊnd ɔːf/	Round off the number to the nearest ten.	그 숫자를 가장 가까운 10 단위로 반올림해라.	She rounded off her speech with a joke.	그녀는 농담으로 연설을 마무리했다.	수학에서는 반올림, 일반적으로는 마무리
intermediate	adjective	중간의, 중급의	/ˌɪntərˈmiːdiət/	This course is for intermediate students.	이 강좌는 중급 학생들을 위한 것이다.	The train stopped at an intermediate station.	그 기차는 중간역에 멈췄다.	초급과 고급 사이
intermediate	noun	중급자	/ˌɪntərˈmiːdiət/	This book is useful for intermediates.	이 책은 중급자에게 유용하다.	The class is designed for intermediates.	그 수업은 중급자를 위해 설계되었다.	명사로도 사용
retain	verb	유지하다, 보유하다	/rɪˈteɪn/	The company wants to retain talented employees.	그 회사는 유능한 직원들을 유지하고 싶어 한다.	Please retain a copy of this document.	이 문서의 사본을 보관해 주세요.	keep보다 공식적인 느낌
derive	verb	끌어내다, 얻다, 유래하다	/dɪˈraɪv/	Many English words derive from Latin.	많은 영어 단어는 라틴어에서 유래했다.	She derives great pleasure from reading.	그녀는 독서에서 큰 즐거움을 얻는다.	derive from 형태 자주 사용
curvature	noun	곡률, 굽은 정도	/ˈkɜːrvətʃər/	The curvature of the road made driving difficult.	도로의 굽은 정도 때문에 운전이 어려웠다.	Scientists measured the curvature of the surface.	과학자들은 표면의 곡률을 측정했다.	수학/과학 쪽 단어
suspend	verb	매달다, 중단하다, 정직시키다	/səˈspend/	The lamp was suspended from the ceiling.	그 램프는 천장에 매달려 있었다.	The school suspended him for a week.	학교는 그를 일주일 동안 정학시켰다.	매달다/중단하다/정직시키다
turn up	phrasal verb	나타나다, 발견되다	/tɜːrn ʌp/	He turned up late for the meeting.	그는 회의에 늦게 나타났다.	The missing file turned up on my desk.	사라진 파일이 내 책상 위에서 발견되었다.	show up과 비슷
turn up	phrasal verb	소리를 키우다, 강도를 높이다	/tɜːrn ʌp/	Can you turn up the volume?	소리 좀 키워 줄래?	They turned up the heat in the room.	그들은 방의 난방을 높였다.	기기 조절에도 사용
insane	adjective	미친, 제정신이 아닌	/ɪnˈseɪn/	That idea sounds insane.	그 생각은 미친 것처럼 들린다.	The amount of work was insane.	일의 양이 말도 안 되게 많았다.	구어체로 “말도 안 되는” 의미도 많음
admit	verb	인정하다	/ədˈmɪt/	He admitted his mistake.	그는 자신의 실수를 인정했다.	She admitted that she was wrong.	그녀는 자신이 틀렸다는 것을 인정했다.	admit that 자주 사용
admit	verb	입장을 허가하다, 입학을 허가하다	/ədˈmɪt/	This ticket admits one person.	이 표는 한 사람의 입장을 허용한다.	She was admitted to the university.	그녀는 그 대학에 입학 허가를 받았다.	수동태 be admitted to 자주 사용
operation	noun	수술, 작전, 운영	/ˌɑːpəˈreɪʃn/	He had an operation on his knee.	그는 무릎 수술을 받았다.	The company’s daily operation depends on this system.	그 회사의 일상 운영은 이 시스템에 달려 있다.	의학/군사/회사 운영 모두 가능
reasonable	adjective	합리적인, 타당한	/ˈriːznəbl/	That sounds like a reasonable solution.	그것은 합리적인 해결책처럼 들린다.	The price is reasonable.	가격이 적당하다.	가격이 “괜찮다”는 뜻으로도 자주 사용
tide	noun	조류, 밀물과 썰물	/taɪd/	The tide is coming in.	밀물이 들어오고 있다.	The boat moved with the tide.	그 배는 조류를 따라 움직였다.	바닷물의 흐름
tide	noun	흐름, 추세	/taɪd/	Public opinion turned with the political tide.	여론은 정치적 흐름에 따라 바뀌었다.	They tried to resist the tide of change.	그들은 변화의 흐름에 저항하려 했다.	비유적으로 흐름/추세
tolerant	adjective	관대한, 참을성 있는	/ˈtɑːlərənt/	She is tolerant of other people’s opinions.	그녀는 다른 사람들의 의견에 관대하다.	We should be more tolerant of differences.	우리는 차이에 더 관대해야 한다.	be tolerant of 형태 자주 사용
irritable	adjective	성미가 급한, 짜증을 잘 내는	/ˈɪrɪtəbl/	He becomes irritable when he is tired.	그는 피곤하면 짜증을 잘 낸다.	Lack of sleep can make people irritable.	수면 부족은 사람들을 짜증 나게 만들 수 있다.	irritated와 헷갈림 주의
revocable	adjective	취소할 수 있는, 폐지할 수 있는	/ˈrevəkəbl/	The agreement is revocable under certain conditions.	그 합의는 특정 조건에서 취소될 수 있다.	The license is revocable by the government.	그 허가는 정부에 의해 취소될 수 있다.	법률/계약에서 자주 사용
aghast	adjective	깜짝 놀란, 경악한	/əˈɡæst/	She was aghast at the news.	그녀는 그 소식에 경악했다.	We were aghast to see the damage.	우리는 그 피해를 보고 깜짝 놀랐다.	be aghast at/to 형태
abhorrent	adjective	혐오스러운, 끔찍한	/əbˈhɔːrənt/	Violence is abhorrent to him.	폭력은 그에게 혐오스러운 것이다.	They considered the policy morally abhorrent.	그들은 그 정책을 도덕적으로 혐오스럽다고 여겼다.	강한 부정적 느낌
skyscraper	noun	마천루, 고층 건물	/ˈskaɪskreɪpər/	The city is full of skyscrapers.	그 도시는 마천루로 가득하다.	They built a new skyscraper downtown.	그들은 도심에 새 고층 건물을 지었다.	높은 빌딩
furnish	verb	제공하다, 공급하다	/ˈfɜːrnɪʃ/	Please furnish us with the necessary information.	필요한 정보를 우리에게 제공해 주세요.	The report furnished evidence for the claim.	그 보고서는 그 주장에 대한 증거를 제공했다.	furnish A with B 형태
furnish	verb	가구를 비치하다	/ˈfɜːrnɪʃ/	The apartment is fully furnished.	그 아파트는 가구가 완전히 갖춰져 있다.	They furnished the room with a bed and a desk.	그들은 방에 침대와 책상을 비치했다.	부동산에서 furnished 자주 사용
pane	noun	창유리, 판	/peɪn/	A pane of glass was broken.	유리창 한 장이 깨졌다.	The window has three panes.	그 창문은 세 장의 유리판으로 되어 있다.	window pane
in the long run	phrase	결국, 장기적으로는	/ɪn ðə lɔːŋ rʌn/	In the long run, this plan will save money.	장기적으로 이 계획은 돈을 절약해 줄 것이다.	Hard work pays off in the long run.	노력은 결국 보상을 받는다.	긴 시간으로 보면
World Trade Center	proper noun	세계무역센터	/wɜːrld treɪd ˈsentər/	The World Trade Center was a famous landmark.	세계무역센터는 유명한 랜드마크였다.	Many offices were located in the World Trade Center.	많은 사무실이 세계무역센터에 있었다.	고유명사
boredom	noun	지루함, 권태	/ˈbɔːrdəm/	He felt boredom during the long lecture.	그는 긴 강의 동안 지루함을 느꼈다.	Boredom can make people lose focus.	지루함은 사람들이 집중력을 잃게 만들 수 있다.	bored의 명사형
stubborn	adjective	완고한, 고집 센	/ˈstʌbərn/	He is too stubborn to change his mind.	그는 너무 고집이 세서 마음을 바꾸지 않는다.	Her stubborn attitude caused problems.	그녀의 완고한 태도가 문제를 일으켰다.	사람 성격에 자주 사용
stable	adjective	안정된, 안정적인	/ˈsteɪbl/	The patient is in stable condition.	그 환자는 안정된 상태이다.	She wants a stable job.	그녀는 안정적인 직업을 원한다.	상태/직장/경제 등에 자주 사용
stable	noun	마구간	/ˈsteɪbl/	The horses are kept in the stable.	말들은 마구간에 보관된다.	He cleaned the stable every morning.	그는 매일 아침 마구간을 청소했다.	명사 의미도 있음
at all times	phrase	항상, 언제나	/æt ɔːl taɪmz/	Please keep your ID card with you at all times.	항상 신분증을 소지해 주세요.	The machine must be monitored at all times.	그 기계는 항상 감시되어야 한다.	공식 안내문에서 자주 사용
at no cost	phrase	무료로, 비용 없이	/æt noʊ kɔːst/	The service is available at no cost.	그 서비스는 무료로 이용 가능하다.	You can join the program at no cost.	그 프로그램에 비용 없이 참여할 수 있다.	free보다 공식적인 표현
in detail	phrase	상세하게	/ɪn ˈdiːteɪl/	She explained the plan in detail.	그녀는 그 계획을 상세하게 설명했다.	We discussed the problem in detail.	우리는 그 문제를 자세히 논의했다.	explain/discuss와 자주 사용
in charge of	phrase	~을 담당하는	/ɪn tʃɑːrdʒ əv/	She is in charge of the project.	그녀는 그 프로젝트를 담당하고 있다.	Who is in charge of this department?	이 부서를 담당하는 사람은 누구인가요?	be in charge of 형태
in writing	phrase	서면으로	/ɪn ˈraɪtɪŋ/	Please submit your request in writing.	요청서를 서면으로 제출해 주세요.	The agreement must be confirmed in writing.	그 합의는 서면으로 확인되어야 한다.	계약/요청에서 자주 사용
on schedule	phrase	예정대로, 일정대로	/ɑːn ˈskedʒuːl/	The train arrived on schedule.	그 기차는 예정대로 도착했다.	The project is progressing on schedule.	그 프로젝트는 일정대로 진행되고 있다.	미국식 발음 기준
upon request	phrase	요청하면, 요청 시	/əˈpɑːn rɪˈkwest/	More information is available upon request.	추가 정보는 요청 시 제공됩니다.	Copies of the report will be sent upon request.	보고서 사본은 요청하면 보내드립니다.	안내문/공식문에서 자주 사용
continental breakfast	noun phrase	유럽식 아침식사, 간단한 조식	/ˌkɑːntɪˈnentl ˈbrekfəst/	The hotel offers a continental breakfast.	그 호텔은 유럽식 조식을 제공한다.	A continental breakfast usually includes bread, fruit, and coffee.	유럽식 조식은 보통 빵, 과일, 커피를 포함한다.	호텔 표현
charge	noun	요금, 비용	/tʃɑːrdʒ/	There is an extra charge for parking.	주차에는 추가 요금이 있다.	The delivery charge is five dollars.	배송비는 5달러이다.	fee와 비슷
charge	verb	청구하다, 요금을 부과하다	/tʃɑːrdʒ/	The hotel charged us for breakfast.	그 호텔은 우리에게 조식 비용을 청구했다.	They charge a small fee for the service.	그들은 그 서비스에 소액의 요금을 부과한다.	돈을 요구할 때
tour	noun	여행, 관광, 견학	/tʊr/	We took a tour of the museum.	우리는 그 박물관을 견학했다.	The city tour starts at 9 a.m.	시내 관광은 오전 9시에 시작한다.	관광/견학
tour	verb	관광하다, 둘러보다	/tʊr/	They toured the old castle.	그들은 오래된 성을 둘러보았다.	We toured several factories last week.	우리는 지난주 여러 공장을 견학했다.	장소를 둘러보다
brochure	noun	소책자, 안내 책자	/broʊˈʃʊr/	Please read the travel brochure.	여행 안내 책자를 읽어 주세요.	The brochure explains the program in detail.	그 안내 책자는 프로그램을 자세히 설명한다.	홍보용 안내문
take place	verb phrase	개최되다, 일어나다	/teɪk pleɪs/	The meeting will take place tomorrow.	회의는 내일 열릴 것이다.	The accident took place near the station.	그 사고는 역 근처에서 일어났다.	happen보다 공식적인 느낌
take action	verb phrase	조치를 취하다	/teɪk ˈækʃn/	The government must take action quickly.	정부는 빨리 조치를 취해야 한다.	We took action to solve the problem.	우리는 그 문제를 해결하기 위해 조치를 취했다.	문제 해결 행동
device	noun	장치, 기기	/dɪˈvaɪs/	This device measures temperature.	이 장치는 온도를 측정한다.	Please turn off all electronic devices.	모든 전자 기기를 꺼 주세요.	전자기기/장비
inspect	verb	점검하다, 검사하다	/ɪnˈspekt/	The engineer inspected the machine.	기술자가 그 기계를 점검했다.	The officer inspected our documents.	그 직원은 우리의 서류를 검사했다.	check보다 공식적
win	verb	이기다, 획득하다	/wɪn/	Our team won the game.	우리 팀이 경기에서 이겼다.	She won first prize in the contest.	그녀는 대회에서 1등상을 받았다.	경기/상 둘 다
acknowledge	verb	인정하다	/əkˈnɑːlɪdʒ/	He acknowledged his mistake.	그는 자신의 실수를 인정했다.	The company acknowledged the problem.	그 회사는 그 문제를 인정했다.	admit보다 공식적인 느낌
acknowledge	verb	받았음을 알리다, 확인하다	/əkˈnɑːlɪdʒ/	Please acknowledge receipt of this email.	이 이메일을 받았음을 알려 주세요.	She acknowledged my message with a short reply.	그녀는 짧은 답장으로 내 메시지를 받았음을 알렸다.	문서/메일에서 자주 사용
community	noun	지역사회, 공동체	/kəˈmjuːnəti/	The community supported the project.	그 지역사회는 그 프로젝트를 지원했다.	She is active in the local community.	그녀는 지역사회에서 활발히 활동한다.	지역/집단
community	noun	주민, 공동체 구성원들	/kəˈmjuːnəti/	The community gathered for the event.	주민들이 그 행사를 위해 모였다.	The school works closely with the community.	그 학교는 지역 주민들과 긴밀히 협력한다.	사람들의 집단 의미
sponsorship	noun	후원, 협찬	/ˈspɑːnsərʃɪp/	The event received corporate sponsorship.	그 행사는 기업 후원을 받았다.	We are looking for sponsorship for the festival.	우리는 축제를 위한 후원을 찾고 있다.	행사/스포츠에서 자주 사용
gratitude	noun	감사, 고마움	/ˈɡrætɪtuːd/	She expressed her gratitude to the volunteers.	그녀는 자원봉사자들에게 감사를 표현했다.	I feel deep gratitude for your help.	당신의 도움에 깊은 감사를 느낍니다.	thankfulness보다 공식적
recreational	adjective	레크리에이션의, 오락의, 여가 활동의	/ˌrekriˈeɪʃənl/	The park offers many recreational activities.	그 공원은 많은 여가 활동을 제공한다.	The center has recreational facilities for children.	그 센터에는 아이들을 위한 오락 시설이 있다.	recreation의 형용사
culinary	adjective	요리의, 음식의	/ˈkʌlɪneri/	She studied culinary arts.	그녀는 요리 예술을 공부했다.	The city is famous for its culinary traditions.	그 도시는 요리 전통으로 유명하다.	요리 관련 형용사
licensed	adjective	인가된, 면허를 받은	/ˈlaɪsnst/	You should hire a licensed electrician.	면허가 있는 전기기사를 고용해야 한다.	The restaurant is licensed to sell alcohol.	그 식당은 술을 판매할 허가를 받았다.	공식 허가/면허
negotiable	adjective	협상 가능한, 조정 가능한	/nɪˈɡoʊʃiəbl/	The price is negotiable.	가격은 협상 가능하다.	Working hours are negotiable.	근무 시간은 조정 가능하다.	가격/조건에 자주 사용
cuisine	noun	요리, 요리법	/kwɪˈziːn/	I like Korean cuisine.	나는 한국 요리를 좋아한다.	The restaurant serves French cuisine.	그 식당은 프랑스 요리를 제공한다.	나라/지역 음식
opening	noun	개업, 개장	/ˈoʊpənɪŋ/	The grand opening is next Monday.	그랜드 오프닝은 다음 주 월요일이다.	Many people attended the store opening.	많은 사람들이 그 가게 개업식에 참석했다.	가게/행사 시작
opening	noun	공석, 빈자리	/ˈoʊpənɪŋ/	There is an opening in the sales department.	영업 부서에 공석이 있다.	She applied for a job opening at the company.	그녀는 그 회사의 채용 공고에 지원했다.	채용에서 매우 자주 사용
recruit	verb	모집하다, 채용하다	/rɪˈkruːt/	The company plans to recruit new employees.	그 회사는 신입 직원을 채용할 계획이다.	We need to recruit more volunteers.	우리는 더 많은 자원봉사자를 모집해야 한다.	사람을 뽑다
recruit	noun	신입 사원, 신병	/rɪˈkruːt/	The new recruits started training today.	신입 사원들은 오늘 교육을 시작했다.	Each recruit received a uniform.	각 신병은 제복을 받았다.	명사로도 사용
leak out	phrasal verb	새다, 누출되다	/liːk aʊt/	Gas leaked out of the pipe.	가스가 파이프에서 새어 나왔다.	The secret leaked out before the meeting.	그 비밀은 회의 전에 새어 나갔다.	액체/가스뿐 아니라 정보가 새는 것도 가능
dank	adjective	축축하고 음침한	/dæŋk/	The basement was cold and dank.	그 지하실은 춥고 축축했다.	We walked through a dank tunnel.	우리는 축축하고 음침한 터널을 걸었다.	장소 묘사에 사용
troops	noun	군대, 병력	/truːps/	The troops entered the city at dawn.	군대는 새벽에 그 도시에 진입했다.	More troops were sent to the border.	더 많은 병력이 국경으로 보내졌다.	항상 복수형으로 자주 사용
corner	noun	구석, 모퉁이	/ˈkɔːrnər/	She sat in the corner of the room.	그녀는 방 구석에 앉았다.	Turn left at the next corner.	다음 모퉁이에서 왼쪽으로 도세요.	공간의 구석/길 모퉁이
corner	verb	궁지에 몰아넣다	/ˈkɔːrnər/	The police cornered the suspect.	경찰은 용의자를 궁지에 몰아넣었다.	He felt cornered during the argument.	그는 논쟁 중에 궁지에 몰린 기분이었다.	비유적으로도 사용
abolish	verb	폐지하다	/əˈbɑːlɪʃ/	The government abolished the old law.	정부는 그 낡은 법을 폐지했다.	They want to abolish the system.	그들은 그 제도를 폐지하고 싶어 한다.	법/제도 폐지
appreciate	verb	높이 평가하다, 감사하다	/əˈpriːʃieɪt/	I appreciate your help.	당신의 도움에 감사드립니다.	We appreciate his hard work.	우리는 그의 노력을 높이 평가한다.	감사하다/가치를 인정하다
appreciate	verb	이해하다, 알아보다	/əˈpriːʃieɪt/	You need to appreciate the seriousness of the problem.	너는 그 문제의 심각성을 이해해야 한다.	She appreciates the importance of teamwork.	그녀는 팀워크의 중요성을 안다.	상황의 중요성을 이해할 때
Congress	noun	의회, 국회	/ˈkɑːŋɡrəs/	Congress passed a new law.	의회는 새 법을 통과시켰다.	The president spoke to Congress.	대통령은 의회에서 연설했다.	미국 의회는 대문자 Congress
contribution	noun	공헌, 기여, 기부금	/ˌkɑːntrɪˈbjuːʃn/	Her contribution to the project was important.	그녀의 프로젝트에 대한 공헌은 중요했다.	We made a small contribution to the charity.	우리는 그 자선단체에 작은 기부를 했다.	공헌/기부 둘 다 가능
subject	noun	주제, 과목	/ˈsʌbdʒekt/	The subject of the lecture was climate change.	그 강의의 주제는 기후 변화였다.	Math is my favorite subject.	수학은 내가 가장 좋아하는 과목이다.	주제/학교 과목
subject	verb	겪게 하다, 당하게 하다	/səbˈdʒekt/	The workers were subjected to unfair treatment.	그 노동자들은 부당한 대우를 당했다.	The product was subjected to several tests.	그 제품은 여러 시험을 거쳤다.	be subjected to 형태
confirm	verb	확인하다, 확정하다	/kənˈfɜːrm/	Please confirm your reservation.	예약을 확인해 주세요.	The test confirmed the result.	그 검사는 그 결과를 확인해 주었다.	예약/사실 확인
mechanic	noun	정비사, 기계공	/məˈkænɪk/	The mechanic fixed my car.	정비사가 내 차를 고쳤다.	We called a mechanic to check the engine.	우리는 엔진을 점검하기 위해 정비사를 불렀다.	자동차 정비사에 자주 사용
gulp	verb	꿀꺽 삼키다	/ɡʌlp/	He gulped down a glass of water.	그는 물 한 잔을 꿀꺽 마셨다.	She gulped nervously before speaking.	그녀는 말하기 전에 긴장해서 침을 꿀꺽 삼켰다.	gulp down 자주 사용
